template,count
cite web,13340076
cite news,4003325
cite book,1765330
cite journal,1413205
citation,304742
harvnb,211107
london gazette,85430
nrisref,65683
irancensus2006,63049
cite press release,62177
cite magazine,52518
cite gnis,46487
geonet3,46227
timatic,41159
cite episode,39439
cite map,34989
gnis,34233
cite encyclopedia,33637
citeweb,32997
cite report,32269
soccerbase season,27260
nhle,25229
cite sports-reference,24983
cite av media notes,23970
allmusic,22240
cite newspaper the times,20531
wrms species,20289
cite av media,17349
cite video,15505
google maps,14989
harvp,14368
cite tweet,12139
sa rugby match centre,11176
iucn,10143
cite video game,9137
youtube,8996
lepindex,8946
cite conference,8861
cite comic,8444
txdot,7720
bibleverse,7125
soccerway,6947
imdb title,6381
harv,6345
nft player,6335
cite,6072
acad,5766
harvtxt,5765
ru-pop-ref,5732
cite thesis,5728
cite dnb,5591
census 2016 aus,5252
harvcoltxt,5140
national heritage list for england,4970
cite qhr,4772
fishbase,4740
cite rcdb,4684
cite court,4602
cite odnb,4423
imdb name,4421
cite interview,4387
cite certification,4357
asn accident,4049
citenews,3838
florabase,3796
plants,3679
cite newspaper,3660
iranncsgn,3643
citar web,3636
cite gdot map,3624
hds,3595
hugman,3581
cite qpn,3570
dnzb,3379
rayment-hc,3331
fifa player,3120
fishbase species,3031
itis,2993
maryland road map,2939
california's geographic names,2933
cite eb1911,2920
cite peakbagger,2915
wrms source,2914
census 2011 aus,2869
cite mdot map,2855
eb1911,2721
ioe,2686
cite document,2636
pastscape,2600
cite worms,2574
gcm,2554
grin,2517
csr,2480
cite paper,2417
iaaf name,2413
nrhpgooglemapfootnote,2405
cite arxiv,2370
mathgenealogy,2361
who's who,2332
cite simbad,2274
find a grave,2243
fishbase genus,2241
cite article,2233
cite patent,2178
cite nsw shr,2140
cite act,2137
croatian census 2011,2125
citation/core,1934
nsw gnr,1899
cite new south wales transport timetables,1887
enfa,1797
census 2006 aus,1796
catholic-hierarchy,1778
cite uboat.net,1778
iucn2008,1716
soccerbase,1704
cite hansard,1678
harvard citation no brackets,1653
crhp,1628
bibleref2,1610
dilg detail,1575
dbcatsurl,1570
bcgnis,1547
vcite journal,1515
afl tables,1494
maryland src report,1465
cfs,1464
fchd,1460
cite cgndb,1449
cite danfs,1427
teishajo,1393
cite govtrack,1393
cite quran,1380
ref laime,1369
nrdb species,1345
sfa profile,1340
cathency,1322
cite podcast,1290
vcite web,1278
mojo title,1261
cite pressrelease,1249
comic book reference,1230
cite ladotd map,1227
toponymie,1222
okato reference,1218
cite pastscape,1209
harvsp,1177
odnbweb,1156
google books,1138
billboardurlbyname,1109
australian dictionary of biography,1106
nrtimes,1075
nycs const,1062
emporis,1041
medio tiempo,1038
cite mailing list,1024
orgsynth,1009
apni,1005
cite basketball-reference,1004
cite press,990
stortingetbio,989
ref bertonio,988
sa rugby player profile,984
cite techreport,971
cite rowlett,964
msw3 groves,961
cite wikisource,950
cite website,945
cite dcb,944
maryland hlr,929
webarchive,923
ussc,916
lsj,904
aut,894
worshipreg,883
cite gvp,882
neilbrownplayers,881
nomis2011,856
bing maps,827
cite transperth bus,823
cite serial,819
skyscraperpage,810
russiaadmmunref,806
isbn,803
vcite news,801
url,786
cite canlaw,783
wcsp,777
discogs release,777
cite  web,776
cite  news,775
delaware road map,745
web cite,742
cite work,741
sa rugby article,730
cite bcgnis,727
structurae,727
mathworld,725
mamrot,718
canadian parliament links,716
nzhpt,715
sa rugby squad,692
es icon}} {{cite news,687
cite sign,687
scref,684
cite oeis,679
congbio,679
isfdb title,679
cite press_release,674
cite ietf,661
citebook,660
oclc,660
rotten-tomatoes,651
wad,645
cite qsa agency,642
cite notitia parliamentaria,640
cite speech,639
pgch,635
ref afl encyc,630
landinfo wa,630
cite ngs,626
me-ref,623
un document,616
cite newsgroup,616
sgcite,602
church times,599
gcdb series,598
iucn2013.2,593
indot map,593
emedicine,593
ew charity,591
usc,588
findagrave,585
gazetteer of australia,585
cite bailii,583
cite new,581
comicbookdb,578
crockford,577
fjc bio,573
texas mapbook,565
ctb minutes,561
nvr url,560
citation-attribution,559
cite ce1913,545
cite manual,544
cite australasia,544
oetymd,543
cite_web,541
wwf ecoregion,532
coord,528
whonamedit,524
ctbuh,515
dorlandsdict,512
fis,508
cite bivouac,507
ohio road map,497
cite canlii,492
cite ohp,490
cite dvd notes,489
cite austlii,487
us patent,486
harvcolnb,484
omim,484
nrhp url,482
butt-stations,479
cite ahd,478
goldbookref,477
harnvb,473
handbook of texas,471
mississippi road map,463
mlcc,462
dnb cite,461
oed,459
gazette qld,452
paxton-bourne,447
groveonline,437
cite url,430
cite us gazetteer,421
repertorium nederlandse gemeenten,418
cite americana,418
cite appletons',417
cite nie,417
national pipe organ register,414
dutch municipality total area,408
dutch municipality population,408
cite dnb12,407
vcite book,406
quebecmnabio,406
dead link,404
aashto minutes,402
gcdb,402
cite ngall,399
ipc profile,395
cite nyc bus,394
was,394
antcat,388
ibdb title,387
cite uscghist,387
cite utsr law,386
flora of australia online,385
